Sector,unit,Year,Emissions
Energy,MtCO2e,1990,23364.85
Energy,MtCO2e,1991,23505.38
Energy,MtCO2e,1992,23380.55
Energy,MtCO2e,1993,23503.34
Energy,MtCO2e,1994,23592.68
Energy,MtCO2e,1995,24245.42
Energy,MtCO2e,1996,24756.95
Energy,MtCO2e,1997,25177.64
Energy,MtCO2e,1998,25336.58
Energy,MtCO2e,1999,25466.4
Energy,MtCO2e,2000,26287.81
Energy,MtCO2e,2001,26649.24
Energy,MtCO2e,2002,26963.93
Energy,MtCO2e,2003,28169.47
Energy,MtCO2e,2004,29458.1
Energy,MtCO2e,2005,30549.56
Energy,MtCO2e,2006,31459.36
Energy,MtCO2e,2007,32553.93
Energy,MtCO2e,2008,32797.52
Energy,MtCO2e,2009,32314.66
Energy,MtCO2e,2010,34230.32
Energy,MtCO2e,2011,35212.04
Energy,MtCO2e,2012,35598.6
Energy,MtCO2e,2013,36236.6
Energy,MtCO2e,2014,36332.13
Energy,MtCO2e,2015,36172.6
Energy,MtCO2e,2016,36212.81
Energy,MtCO2e,2017,36752.67
Energy,MtCO2e,2018,37635.61
Energy,MtCO2e,2019,37613.05
Energy,MtCO2e,2020,35450.68
Energy,MtCO2e,2021,37407.79
Industrial Processes,MtCO2e,1990,1003.53
Industrial Processes,MtCO2e,1991,1008.33
Industrial Processes,MtCO2e,1992,1023.75
Industrial Processes,MtCO2e,1993,1040.48
Industrial Processes,MtCO2e,1994,1149.02
Industrial Processes,MtCO2e,1995,1222.18
Industrial Processes,MtCO2e,1996,1273.84
Industrial Processes,MtCO2e,1997,1323.34
Industrial Processes,MtCO2e,1998,1327.81
Industrial Processes,MtCO2e,1999,1336.92
Industrial Processes,MtCO2e,2000,1396.22
Industrial Processes,MtCO2e,2001,1422.09
Industrial Processes,MtCO2e,2002,1474.4
Industrial Processes,MtCO2e,2003,1568.35
Industrial Processes,MtCO2e,2004,1650.03
Industrial Processes,MtCO2e,2005,1746.61
Industrial Processes,MtCO2e,2006,1878.44
Industrial Processes,MtCO2e,2007,2006.9
Industrial Processes,MtCO2e,2008,2051.56
