Entity,Code,Year,Share of global annual CO₂ emissions,Share of world population,World Bank's income classification
Afghanistan,AFG,1949,0.0002816276,,
Afghanistan,AFG,1950,0.0014210546,0.31190905,
Afghanistan,AFG,1951,0.0014354152,0.31058612,
Afghanistan,AFG,1952,0.0014163209,0.3091144,
Afghanistan,AFG,1953,0.001597622,0.3073795,
Afghanistan,AFG,1954,0.0015649981,0.3055947,
Afghanistan,AFG,1955,0.0020673047,0.3038807,
Afghanistan,AFG,1956,0.0023113764,0.30243513,
Afghanistan,AFG,1957,0.003580903,0.30106866,
Afghanistan,AFG,1958,0.0039176983,0.29964492,
Afghanistan,AFG,1959,0.0043431334,0.29903638,
Afghanistan,AFG,1960,0.0044091246,0.29962313,
Afghanistan,AFG,1961,0.0052129137,0.30063537,
Afghanistan,AFG,1962,0.007064468,0.30109778,
Afghanistan,AFG,1963,0.0068837213,0.30081645,
Afghanistan,AFG,1964,0.0077468124,0.30063888,
Afghanistan,AFG,1965,0.008902418,0.30097172,
Afghanistan,AFG,1966,0.009198276,0.30159438,
Afghanistan,AFG,1967,0.010475004,0.30246794,
Afghanistan,AFG,1968,0.009479769,0.3034233,
Afghanistan,AFG,1969,0.0068394616,0.3043913,
Afghanistan,AFG,1970,0.011211377,0.30557784,
Afghanistan,AFG,1971,0.01221344,0.30684718,
Afghanistan,AFG,1972,0.009432266,0.30829522,
Afghanistan,AFG,1973,0.0095724035,0.31008938,
Afghanistan,AFG,1974,0.011246511,0.31200773,
Afghanistan,AFG,1975,0.012440122,0.3138,
Afghanistan,AFG,1976,0.011011433,0.31513235,
Afghanistan,AFG,1977,0.012888383,0.3162918,
Afghanistan,AFG,1978,0.011291978,0.31712803,
Afghanistan,AFG,1979,0.011386361,0.31258896,
Afghanistan,AFG,1980,0.009011981,0.2960989,
Afghanistan,AFG,1981,0.010400427,0.26359403,
Afghanistan,AFG,1982,0.011099412,0.23828658,
Afghanistan,AFG,1983,0.013268564,0.23242973,
Afghanistan,AFG,1984,0.014360588,0.23399852,
Afghanistan,AFG,1985,0.017238278,0.2346886,
Afghanistan,AFG,1986,0.015200828,0.23033293,
Afghanistan,AFG,1987,0.014653247,0.22551279,Low-income countries
Afghanistan,AFG,1988,0.012935835,0.22410183,Low-income countries
Afghanistan,AFG,1989,0.012350471,0.22684579,Low-income countries
Afghanistan,AFG,1990,0.008906363,0.22609064,Low-income countries
Afghanistan,AFG,1991,0.008256243,0.22586225,Low-income countries
Afghanistan,AFG,1992,0.00657867,0.24117339,Low-income countries
Afghanistan,AFG,1993,0.006534351,0.2672459,Low-income countries
Afghanistan,AFG,1994,0.0063229343,0.28632987,Low-income countries
Afghanistan,AFG,1995,0.006022956,0.29633954,Low-income countries
Afghanistan,AFG,1996,0.005648011,0.30405846,Low-income countries
Afghanistan,AFG,1997,0.0053444677,0.311439,Low-income countries
Afghanistan,AFG,1998,0.0052605155,0.3189576,Low-income countries
Afghanistan,AFG,1999,0.0043922584,0.32661802,Low-income countries
Afghanistan,AFG,2000,0.004104685,0.32617146,Low-income countries
Afghanistan,AFG,2001,0.004158896,0.32429272,Low-income countries
Afghanistan,AFG,2002,0.0051033287,0.3373151,Low-income countries
Afghanistan,AFG,2003,0.0056365402,0.35407746,Low-income countries
Afghanistan,AFG,2004,0.004321127,0.36228338,Low-income countries
Afghanistan,AFG,2005,0.0063803666,0.3704977,Low-income countries
Afghanistan,AFG,2006,0.0070500528,0.38108796,Low-income countries
Afghanistan,AFG,2007,0.008878835,0.38343447,Low-income countries
Afghanistan,AFG,2008,0.013264485,0.38692078,Low-income countries
Afghanistan,AFG,2009,0.02026474,0.39617807,Low-income countries
Afghanistan,AFG,2010,0.02507743,0.40280786,Low-income countries
Afghanistan,AFG,2011,0.034309443,0.41271302,Low-income countries
Afghanistan,AFG,2012,0.028672308,0.42437407,Low-income countries
Afghanistan,AFG,2013,0.026141882,0.4336753,Low-income countries
Afghanistan,AFG,2014,0.025630502,0.4442459,Low-income countries
Afghanistan,AFG,2015,0.027313117,0.45287198,Low-income countries
Afghanistan,AFG,2016,0.025147432,0.45909062,Low-income countries
Afghanistan,AFG,2017,0.026889328,0.46678948,Low-income countries
Afghanistan,AFG,2018,0.02886404,0.47533637,Low-income countries
Afghanistan,AFG,2019,0.029174928,0.48463324,Low-income countries
Afghanistan,AFG,2020,0.033040356,0.4953591,Low-income countries
Afghanistan,AFG,2021,0.027768044,0.5028685,Low-income countries
Afghanistan,AFG,2022,0.028309781,0.5058819,Low-income countries
Afghanistan,AFG,2023,0.029160516,0.5123099,Low-income countries
Afghanistan,AFG,-10000,,0.32740507,
Afghanistan,AFG,-9000,,0.3587929,
Afghanistan,AFG,-8000,,0.38625368,
Afghanistan,AFG,-7000,,0.40531707,
Afghanistan,AFG,-6000,,0.40792844,
Afghanistan,AFG,-5000,,0.3915284,
Afghanistan,AFG,-4000,,1.0611876,
Afghanistan,AFG,-3000,,1.205755,
Afghanistan,AFG,-2000,,1.0576451,
Afghanistan,AFG,-1000,,0.90472794,
Afghanistan,AFG,0,,0.86107117,
Afghanistan,AFG,100,,0.9491581,
Afghanistan,AFG,200,,1.0383692,
Afghanistan,AFG,300,,1.0979222,
Afghanistan,AFG,400,,1.0343529,
Afghanistan,AFG,500,,0.9865988,
Afghanistan,AFG,600,,0.92033935,
Afghanistan,AFG,700,,0.8712176,
Afghanistan,AFG,800,,0.82205147,
Afghanistan,AFG,900,,0.73921067,
Afghanistan,AFG,1000,,0.6955981,
Afghanistan,AFG,1100,,0.5968988,
Afghanistan,AFG,1200,,0.56223494,
Afghanistan,AFG,1300,,0.38356325,
Afghanistan,AFG,1400,,0.42391157,
Afghanistan,AFG,1500,,0.39757392,
Afghanistan,AFG,1600,,0.48435757,
Afghanistan,AFG,1700,,0.41984567,
Afghanistan,AFG,1710,,0.41451862,
Afghanistan,AFG,1720,,0.40418166,
Afghanistan,AFG,1730,,0.39937192,
Afghanistan,AFG,1740,,0.3902268,
Afghanistan,AFG,1750,,0.37204793,
Afghanistan,AFG,1760,,0.36362028,
Afghanistan,AFG,1770,,0.3540542,
Afghanistan,AFG,1780,,0.33276376,
Afghanistan,AFG,1790,,0.32540387,
Afghanistan,AFG,1800,,0.3434942,
Afghanistan,AFG,1810,,0.31877702,
Afghanistan,AFG,1820,,0.30862838,
Afghanistan,AFG,1830,,0.29870927,
Afghanistan,AFG,1840,,0.2964537,
Afghanistan,AFG,1850,,0.29160017,
Afghanistan,AFG,1860,,0.29136392,
Afghanistan,AFG,1870,,0.30452052,
Afghanistan,AFG,1880,,0.3003407,
